epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1470.22,1.48477,1.02009,1.22285,0.71251,0.53483,0.5688,0.30434,1.48979,0.91222,1.07173,0.000441459,0.000441459,0.000441459
57,1492.26,1.48423,1.00378,1.22219,0.67898,0.5503,0.56072,0.3002,1.49279,0.86891,1.08354,0.000435513,0.000435513,0.000435513
58,1514.62,1.48407,1.00784,1.22317,0.70813,0.53652,0.56588,0.30534,1.50802,0.87722,1.09986,0.000429514,0.000429514,0.000429514
59,1536.93,1.50432,1.01233,1.22799,0.70055,0.54033,0.60913,0.33427,1.48479,1.06645,1.08115,0.000423464,0.000423464,0.000423464
60,1559.91,1.48967,1.00693,1.22566,0.69106,0.53864,0.58974,0.31578,1.48465,0.93419,1.07595,0.000417368,0.000417368,0.000417368
61,1582.49,1.47882,0.99742,1.22392,0.72432,0.55262,0.62854,0.34531,1.46706,0.87743,1.0755,0.000411227,0.000411227,0.000411227
62,1605.02,1.47176,0.99398,1.21642,0.73296,0.55,0.59837,0.31461,1.48697,0.89469,1.08223,0.000405044,0.000405044,0.000405044
63,1629.32,1.46981,0.98215,1.21739,0.73591,0.54371,0.60231,0.3213,1.4701,0.92862,1.0652,0.000398822,0.000398822,0.000398822
64,1651.62,1.45503,0.99213,1.21107,0.73493,0.54018,0.59916,0.31772,1.46702,1.08483,1.07475,0.000392563,0.000392563,0.000392563
65,1675.56,1.46035,0.98853,1.21141,0.73324,0.55141,0.61653,0.34242,1.44062,0.84889,1.06786,0.000386271,0.000386271,0.000386271
66,1695.36,1.46023,0.97771,1.20405,0.69629,0.57777,0.60484,0.32522,1.46373,0.9905,1.07316,0.000379948,0.000379948,0.000379948
67,1832.57,1.45261,0.98042,1.21181,0.71199,0.56048,0.59525,0.3274,1.44575,0.85867,1.05757,0.000373596,0.000373596,0.000373596
68,1854.97,1.45369,0.97878,1.21068,0.69827,0.56418,0.61419,0.32837,1.43883,0.87685,1.04947,0.000367219,0.000367219,0.000367219
69,1878.97,1.45374,0.97751,1.20849,0.72498,0.55235,0.62553,0.34862,1.42547,0.83015,1.0486,0.000360819,0.000360819,0.000360819
70,1903.42,1.44993,0.96218,1.20767,0.72959,0.54117,0.60325,0.33471,1.41524,0.80207,1.05103,0.0003544,0.0003544,0.0003544
71,1930.55,1.43779,0.9626,1.20919,0.7223,0.57714,0.60031,0.32982,1.41826,0.79451,1.04834,0.000347963,0.000347963,0.000347963
72,1957.31,1.43141,0.95109,1.20484,0.70763,0.54483,0.60161,0.32614,1.42546,0.80152,1.0398,0.000341513,0.000341513,0.000341513
73,1983.49,1.42145,0.9338,1.184,0.74602,0.57328,0.61497,0.3387,1.39777,0.77524,1.0352,0.000335051,0.000335051,0.000335051
74,2017.4,1.42129,0.94153,1.19324,0.73578,0.5689,0.61226,0.33273,1.4002,0.86265,1.03309,0.00032858,0.00032858,0.00032858
75,2053.93,1.42794,0.94728,1.19598,0.74764,0.56617,0.61851,0.3532,1.39465,0.9215,1.03508,0.000322104,0.000322104,0.000322104
76,2091.86,1.40198,0.92782,1.18636,0.7212,0.57306,0.61412,0.33668,1.39253,0.84838,1.02555,0.000315625,0.000315625,0.000315625
77,2130.51,1.41641,0.93711,1.18648,0.73804,0.56763,0.62514,0.34675,1.38504,0.8103,1.02626,0.000309146,0.000309146,0.000309146
78,2168.04,1.39315,0.92281,1.18303,0.74334,0.55294,0.62734,0.34486,1.37547,0.95761,1.01942,0.00030267,0.00030267,0.00030267
79,2202.91,1.40172,0.92795,1.18028,0.73921,0.57477,0.62008,0.3429,1.373,0.80473,1.02087,0.000296199,0.000296199,0.000296199
80,2238.06,1.38256,0.90244,1.17828,0.71746,0.57606,0.62752,0.35392,1.35802,0.86937,1.01573,0.000289737,0.000289737,0.000289737
81,2275.57,1.41035,0.91957,1.18563,0.75747,0.57053,0.62466,0.35094,1.35595,0.84151,1.01857,0.000283287,0.000283287,0.000283287
82,2304.56,1.40005,0.92394,1.18097,0.75178,0.57775,0.61817,0.34633,1.36313,0.89752,1.02001,0.00027685,0.00027685,0.00027685
83,2325.8,1.40464,0.92472,1.18641,0.74962,0.56594,0.63492,0.34836,1.35614,0.8453,1.01868,0.000270431,0.000270431,0.000270431
84,2349.21,1.40183,0.90979,1.17914,0.73909,0.58592,0.6483,0.36579,1.34362,0.81014,1.00303,0.000264031,0.000264031,0.000264031
85,2374.7,1.396,0.92097,1.1807,0.72994,0.56656,0.6563,0.37157,1.34386,0.81134,1.00634,0.000257654,0.000257654,0.000257654
86,2399.61,1.3915,0.90113,1.17754,0.74809,0.57537,0.63812,0.3607,1.34192,0.78634,1.00292,0.000251302,0.000251302,0.000251302
87,2425.94,1.37727,0.8959,1.17258,0.74676,0.57628,0.66453,0.37507,1.34414,0.83295,1.00762,0.000244979,0.000244979,0.000244979
88,2451.36,1.39314,0.90444,1.16815,0.73482,0.57145,0.63173,0.37328,1.33527,0.80011,1.0012,0.000238687,0.000238687,0.000238687
89,2476.21,1.37804,0.90221,1.16878,0.7505,0.57343,0.64404,0.37337,1.35729,0.74465,1.01132,0.000232428,0.000232428,0.000232428
90,2500.87,1.37736,0.89595,1.17049,0.73389,0.57127,0.65244,0.36334,1.3242,0.76052,1.00149,0.000226206,0.000226206,0.000226206
91,2526.14,1.36447,0.88343,1.16449,0.72649,0.58076,0.64272,0.37329,1.31573,0.76921,0.99526,0.000220023,0.000220023,0.000220023
92,2551.01,1.3564,0.87573,1.16097,0.74689,0.59351,0.66363,0.38582,1.31095,0.78542,0.99107,0.000213882,0.000213882,0.000213882
93,2575.97,1.36234,0.88383,1.16389,0.77398,0.57677,0.66282,0.38602,1.30521,0.81349,0.9909,0.000207786,0.000207786,0.000207786
94,2602.19,1.38504,0.88902,1.16422,0.74938,0.58298,0.66429,0.38365,1.31501,0.72363,0.99415,0.000201736,0.000201736,0.000201736
95,2628.06,1.36516,0.8638,1.16207,0.75334,0.585,0.65629,0.37363,1.31087,0.7448,0.9947,0.000195737,0.000195737,0.000195737
96,2654.82,1.37225,0.8892,1.16487,0.75458,0.58963,0.64398,0.36879,1.29453,0.72364,0.98567,0.000189791,0.000189791,0.000189791
97,2680.19,1.3185,0.85392,1.16148,0.76196,0.5738,0.64165,0.36975,1.29792,0.70467,0.98295,0.0001839,0.0001839,0.0001839
98,2705.75,1.33748,0.86521,1.15287,0.7521,0.58017,0.65448,0.37875,1.29665,0.75963,0.98135,0.000178066,0.000178066,0.000178066
99,2731.86,1.34997,0.86472,1.15809,0.7533,0.5874,0.64997,0.37656,1.28123,0.71436,0.96928,0.000172293,0.000172293,0.000172293
100,2757.52,1.33384,0.85327,1.15771,0.77237,0.58037,0.65188,0.37343,1.28644,0.74343,0.98066,0.000166582,0.000166582,0.000166582
101,2782.43,1.3582,0.86656,1.15294,0.77411,0.58048,0.64609,0.37617,1.28342,0.71108,0.96952,0.000160937,0.000160937,0.000160937
102,2807.74,1.32556,0.85462,1.14813,0.75001,0.57751,0.64451,0.37351,1.28994,0.75636,0.97528,0.00015536,0.00015536,0.00015536
103,2833.56,1.31939,0.84572,1.14643,0.78217,0.57712,0.65342,0.37698,1.27346,0.67656,0.96754,0.000149854,0.000149854,0.000149854
104,2859.49,1.33212,0.84795,1.14652,0.74937,0.58845,0.64899,0.37766,1.26795,0.67736,0.9637,0.000144419,0.000144419,0.000144419
105,2885.48,1.31928,0.85001,1.14574,0.77762,0.58507,0.65162,0.3782,1.26593,0.70587,0.96016,0.00013906,0.00013906,0.00013906
106,2911.36,1.32524,0.85118,1.14779,0.77968,0.58636,0.65328,0.38099,1.26182,0.70267,0.9641,0.000133779,0.000133779,0.000133779
107,2939.14,1.31901,0.84641,1.14494,0.7759,0.58422,0.64959,0.38162,1.24991,0.67928,0.96037,0.000128577,0.000128577,0.000128577
108,2964.22,1.32947,0.8326,1.1442,0.76086,0.59176,0.65266,0.38204,1.27236,0.70008,0.96994,0.000123457,0.000123457,0.000123457
109,2989.89,1.30471,0.83869,1.13686,0.77304,0.58102,0.65263,0.38568,1.25376,0.71205,0.96031,0.000118422,0.000118422,0.000118422
110,3015.97,1.3076,0.83434,1.13874,0.77218,0.57952,0.66155,0.38966,1.25827,0.67471,0.95787,0.000113473,0.000113473,0.000113473
111,3041.25,1.31479,0.83571,1.14125,0.78627,0.58485,0.66572,0.39197,1.24946,0.65851,0.95815,0.000108613,0.000108613,0.000108613
112,3067.33,1.30715,0.82568,1.14022,0.798,0.57648,0.65808,0.37941,1.25271,0.67319,0.95611,0.000103843,0.000103843,0.000103843
113,3093.41,1.32478,0.83614,1.14171,0.78261,0.59141,0.67385,0.39835,1.23824,0.65743,0.94667,9.91667e-05,9.91667e-05,9.91667e-05
114,3119.17,1.32758,0.84605,1.1403,0.77092,0.59099,0.67,0.39407,1.23583,0.65654,0.94609,9.4585e-05,9.4585e-05,9.4585e-05
115,3144.13,1.2826,0.81686,1.13714,0.78557,0.58721,0.6706,0.38975,1.23574,0.67047,0.94742,9.01003e-05,9.01003e-05,9.01003e-05
116,3169.66,1.31931,0.83113,1.13641,0.76654,0.59255,0.67687,0.39358,1.22642,0.66636,0.94597,8.57146e-05,8.57146e-05,8.57146e-05
117,3195.95,1.31325,0.81846,1.1381,0.78376,0.58507,0.67155,0.39494,1.22944,0.65679,0.94684,8.14297e-05,8.14297e-05,8.14297e-05
118,3223.16,1.28786,0.80709,1.13366,0.77871,0.58841,0.66219,0.39133,1.22126,0.64504,0.94337,7.72475e-05,7.72475e-05,7.72475e-05
119,3249.1,1.29729,0.81866,1.14167,0.77202,0.58841,0.66914,0.39683,1.22158,0.64671,0.94327,7.31698e-05,7.31698e-05,7.31698e-05
120,3274.93,1.2923,0.81356,1.12919,0.77487,0.59273,0.66363,0.39252,1.22404,0.64594,0.94267,6.91986e-05,6.91986e-05,6.91986e-05
